Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Owner,DateRemodeled,DateSecondRemodel,InspectionDetails,Manager_Price_RiseInPrice,Comment
1461,20,RH,80,11622,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,SBrkr,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1961,Unf,1,730,TA,TA,Y,140,0,0,0,120,0,NA,MnPrv,NA,0,6,2010,WD,Normal,"BIN SALIMII, AIDIL ADHAR",1/12/2017 20:05,5/21/2016 20:09,CURR_COND=AVG;INSP_PROC=MG;RMLS_APPROVED=YES;HOI_INCL=INCL,MANAGER=self;Price=169277.0524984;RiseInPrice=5912.67863388541,"Inside, the living room claims carpet, ample windows, & stylish corner fireplace."
1462,20,RL,81,14267,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1958,Unf,1,312,TA,TA,Y,393,36,0,0,0,0,NA,NA,Gar2,12500,6,2010,WD,Normal,"LEONG, BOON HOCK",1/12/2017 20:35,6/17/2016 10:46,CURR_COND=GOOD;INSP_PROC=NA;RMLS_APPROVED=YES;HOI_INCL=NOTINC,MANAGER=hoa;Price=187758.393988768;RiseInPrice=12571.9613809518,"Beautifully remodeled building on high traffic intersection, zoned Commercial OC, Also grandfathered residential could be used residential as well. Building updated throughout, new roof, electrical, all interior finishes, fully insulated."
1463,60,RL,74,13830,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,SBrkr,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,TA,Y,212,34,0,0,0,0,NA,MnPrv,NA,0,3,2010,WD,Normal,"DEAN, TAMELA D",1/17/2017 15:24,3/28/2016 17:09,CURR_COND=EXCELLENT;INSP_PROC=AUTH;RMLS_APPROVED=NO;HOI_INCL=NOTINC,MANAGER=hoa;Price=183583.683569555;RiseInPrice=16253.6130323546,"Inside, the living room claims carpet, ample windows, & stylish corner fireplace."
1464,60,RL,78,9978,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,926,GasA,Ex,Y,SBrkr,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,470,TA,TA,Y,360,36,0,0,0,0,NA,NA,NA,0,6,2010,WD,Normal,"Henslee, David L",1/17/2017 15:29,6/6/2016 19:59,CURR_COND=AVG;INSP_PROC=MG;RMLS_APPROVED=YES;HOI_INCL=INCL,MANAGER=hoa;Price=179317.47751083;RiseInPrice=3756.52354723142,"Inside, the living room claims carpet, ample windows, & stylish corner fireplace."
1465,120,RL,43,5005,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,SBrkr,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1992,RFn,2,506,TA,TA,Y,0,82,0,0,144,0,NA,NA,NA,0,1,2010,WD,Normal,"PROPST, KURT R",1/12/2017 20:05,6/10/2016 15:33,CURR_COND=GOOD;INSP_PROC=AUTH;RMLS_APPROVED=NO;HOI_INCL=NOTINC,MANAGER=hoa;Price=150730.079976501;RiseInPrice=12972.719869103,"Beautifully remodeled building on high traffic intersection, zoned Commercial OC, Also grandfathered residential could be used residential as well. Building updated throughout, new roof, electrical, all interior finishes, fully insulated."
1466,60,RL,75,10000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,763,763,GasA,Gd,Y,SBrkr,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,440,TA,TA,Y,157,84,0,0,0,0,NA,NA,NA,0,4,2010,WD,Normal,"Green, WyattX G",1/12/2017 20:35,3/21/2016 7:52,CURR_COND=EXCELLENT;INSP_PROC=MG;RMLS_APPROVED=YES;HOI_INCL=INCL,MANAGER=hoa;Price=177150.989247307;RiseInPrice=4987.62180034957,"Beautifully remodeled building on high traffic intersection, zoned Commercial OC, Also grandfathered residential could be used residential as well. Building updated throughout, new roof, electrical, all interior finishes, fully insulated."
1467,20,RL,NA,7980,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,SBrkr,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1992,Fin,2,420,TA,TA,Y,483,21,0,0,0,0,NA,GdPrv,Shed,500,3,2010,WD,Normal,"Weinert, Peter K",1/17/2017 15:24,5/4/2016 17:28,CURR_COND=AVG;INSP_PROC=NA;RMLS_APPROVED=YES;HOI_INCL=NOTINC,MANAGER=hoa;Price=172070.659229164;RiseInPrice=9825.28888155396,"Beautifully remodeled building on high traffic intersection, zoned Commercial OC, Also grandfathered residential could be used residential as well. Building updated throughout, new roof, electrical, all interior finishes, fully insulated."
1468,60,RL,63,8402,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,789,789,GasA,Gd,Y,SBrkr,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,393,TA,TA,Y,0,75,0,0,0,0,NA,NA,NA,0,5,2010,WD,Normal,"Logan, Diane",1/17/2017 15:29,4/10/2016 20:12,CURR_COND=GOOD;INSP_PROC=AUTH;RMLS_APPROVED=NO;HOI_INCL=NOTINC,MANAGER=hoa;Price=175110.956519547;RiseInPrice=3079.49862882881,"This daylight ranch has it all. Pull up to a neat facade, where a 2-car garage offers great utility. "
1469,20,RL,85,10176,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,SBrkr,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2,506,TA,TA,Y,192,0,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,"Horani, Samer",1/12/2017 20:05,3/30/2016 20:37,CURR_COND=EXCELLENT;INSP_PROC=AUTH;RMLS_APPROVED=NO;HOI_INCL=NOTINC,MANAGER=hoa;Price=162011.698831665;RiseInPrice=8717.44240607816,"Beautifully remodeled building on high traffic intersection, zoned Commercial OC, Also grandfathered residential could be used residential as well. Building updated throughout, new roof, electrical, all interior finishes, fully insulated."
1470,20,RL,70,8400,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,0,882,GasA,TA,Y,SBrkr,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1970,Fin,2,525,TA,TA,Y,240,0,0,0,0,0,NA,MnPrv,NA,0,4,2010,WD,Normal,"Jacobs, Cari",1/12/2017 20:35,5/15/2016 21:44,CURR_COND=AVG;INSP_PROC=MG;RMLS_APPROVED=YES;HOI_INCL=INCL,MANAGER=hoa;Price=160726.247831419;RiseInPrice=3036.03448738401,"This daylight ranch has it all. Pull up to a neat facade, where a 2-car garage offers great utility. "
